train_id,route,date,day_type,departure_time,passenger_count,seat_capacity,num_coaches,platform_number,delay_minutes
T335,Chennai-Bengaluru,2024-01-02,Weekday,14:45,1076,1008,14,1,6
T336,Delhi-Kolkata,2024-01-22,Weekend,06:00,217,648,9,5,0
T337,Kolkata-Chennai,2024-03-04,Holiday,14:45,725,648,9,1,0
T338,Bengaluru-Mumbai,2024-01-20,Weekend,21:30,1582,1512,21,4,17
T339,Chennai-Bengaluru,2024-01-16,Weekend,23:15,1013,1296,18,5,2
T340,Delhi-Kolkata,2024-02-06,Holiday,10:15,278,648,9,1,0
T341,Bengaluru-Mumbai,2024-02-06,Holiday,06:00,673,1584,22,2,41
T342,Mumbai-Delhi,2024-02-19,Weekday,10:15,1626,1512,21,4,42
T343,Delhi-Kolkata,2024-01-07,Holiday,14:45,380,576,8,6,11
T344,Mumbai-Delhi,2024-03-04,Holiday,08:30,1641,1512,21,3,0
T345,Mumbai-Delhi,2024-03-13,Holiday,10:15,429,792,11,2,0
T346,Kolkata-Chennai,2024-02-05,Holiday,18:00,512,648,9,2,28
T347,Chennai-Bengaluru,2024-02-26,Weekend,10:15,893,1080,15,4,0
T348,Kolkata-Chennai,2024-02-19,Holiday,23:15,448,1080,15,2,0
T349,Bengaluru-Mumbai,2024-01-09,Weekday,10:15,1740,1584,22,1,0
T350,Mumbai-Delhi,2024-02-17,Holiday,23:15,672,1080,15,4,11
T351,Bengaluru-Mumbai,2024-02-19,Weekend,10:15,597,1080,15,2,16
T352,Mumbai-Delhi,2024-02-05,Holiday,08:30,367,936,13,6,26
T353,Delhi-Kolkata,2024-01-29,Weekday,21:30,435,1368,19,6,3
T354,Chennai-Bengaluru,2024-01-30,Holiday,23:15,572,720,10,2,22
T355,Delhi-Kolkata,2024-02-08,Weekday,23:15,939,1296,18,3,0
T356,Mumbai-Delhi,2024-02-16,Weekday,18:00,289,648,9,5,0
T357,Chennai-Bengaluru,2024-01-11,Holiday,23:15,416,936,13,4,26
T358,Bengaluru-Mumbai,2024-02-22,Holiday,21:30,1082,1584,22,6,32
T359,Chennai-Bengaluru,2024-03-07,Weekend,21:30,930,864,12,2,0
T360,Delhi-Kolkata,2024-02-01,Weekday,21:30,353,936,13,5,22
T361,Delhi-Kolkata,2024-03-14,Weekend,08:30,721,1080,15,3,74
T362,Bengaluru-Mumbai,2024-01-02,Weekday,14:45,1478,1440,20,4,12
T363,Bengaluru-Mumbai,2024-02-07,Holiday,10:15,375,936,13,2,7
T364,Kolkata-Chennai,2024-01-13,Weekday,23:15,513,1008,14,2,15
T365,Mumbai-Delhi,2024-01-20,Holiday,14:45,1990,1512,21,2,1
T366,Kolkata-Chennai,2024-02-16,Weekday,10:15,941,1584,22,3,0
T367,Kolkata-Chennai,2024-01-06,Holiday,18:00,709,864,12,1,16
T368,Bengaluru-Mumbai,2024-02-17,Holiday,14:45,726,648,9,3,0
T369,Chennai-Bengaluru,2024-02-24,Weekend,14:45,422,1008,14,4,17
T370,Kolkata-Chennai,2024-01-04,Weekday,18:00,965,936,13,4,3
T371,Mumbai-Delhi,2024-01-24,Weekend,18:00,610,576,8,3,31
T372,Chennai-Bengaluru,2024-02-15,Holiday,14:45,722,648,9,6,53
T373,Mumbai-Delhi,2024-02-22,Holiday,14:45,444,936,13,5,0
T374,Kolkata-Chennai,2024-03-16,Weekday,21:30,742,1080,15,1,36
T375,Chennai-Bengaluru,2024-03-15,Weekday,08:30,1346,1512,21,1,25
T376,Bengaluru-Mumbai,2024-01-21,Weekend,10:15,1696,1512,21,3,20
T377,Delhi-Kolkata,2024-01-20,Weekend,06:00,424,720,10,5,0
T378,Bengaluru-Mumbai,2024-02-05,Holiday,21:30,1290,1224,17,4,5
T379,Kolkata-Chennai,2024-01-04,Weekday,14:45,291,648,9,4,0
T380,Kolkata-Chennai,2024-03-19,Weekend,14:45,302,648,9,4,0
T381,Bengaluru-Mumbai,2024-01-03,Weekday,23:15,805,1152,16,3,21
T382,Chennai-Bengaluru,2024-02-16,Holiday,14:45,660,864,12,1,0
T383,Delhi-Kolkata,2024-01-16,Weekend,21:30,1386,1368,19,1,24
T384,Chennai-Bengaluru,2024-01-17,Weekday,10:15,933,1152,16,5,6
T385,Delhi-Kolkata,2024-01-09,Weekend,10:15,919,1224,17,3,5
T386,Mumbai-Delhi,2024-02-05,Weekday,18:00,960,936,13,3,19
T387,Mumbai-Delhi,2024-02-01,Weekend,21:30,390,864,12,3,36
T388,Bengaluru-Mumbai,2024-01-04,Weekend,08:30,838,792,11,1,0
T389,Kolkata-Chennai,2024-02-12,Weekday,23:15,224,576,8,4,0
T390,Chennai-Bengaluru,2024-02-08,Holiday,23:15,704,1224,17,6,11
T391,Bengaluru-Mumbai,2024-02-06,Weekend,23:15,517,576,8,5,0
T392,Bengaluru-Mumbai,2024-01-15,Weekday,18:00,1285,1368,19,5,11
T393,Chennai-Bengaluru,2024-01-16,Holiday,23:15,1086,792,11,6,10
T394,Mumbai-Delhi,2024-03-04,Weekend,08:30,1439,1584,22,4,12
T395,Chennai-Bengaluru,2024-01-02,Weekday,21:30,495,1008,14,1,27
T396,Delhi-Kolkata,2024-02-13,Weekend,10:15,1010,1008,14,1,4
T397,Mumbai-Delhi,2024-03-02,Weekday,14:45,976,1080,15,5,21
T398,Mumbai-Delhi,2024-01-15,Weekday,08:30,1179,1224,17,1,6
T399,Chennai-Bengaluru,2024-01-20,Weekday,21:30,702,792,11,3,14
T400,Delhi-Kolkata,2024-01-18,Weekday,14:45,798,1440,20,5,0
